Question,Even_Further_Improved_Cleaned_Answer
请问电脑别的软件能联网，但是浏览器不能连接上网，p.nju打不开，这种情况适用于群公告的连不上网的方法吗,浏览器显示的什么，代理开着吗;感觉听起来像dns污染;[图片];[图片];是不是开过梯子;是的;前天开了一下;那就重新开梯子;然后正确的断开;不要连接着关闭软件;试试;!好了;[图片];太厉害了呜呜呜;感谢感谢;[图片];重新开关之后好像正常了;没事;@谁见幽人独往来;@谁见幽人独往来;按照这个方法修好了，非常感谢;2023-11-28;17:16:37;【小白】22;仙林;sjw(1439921564);;闲鱼不包邮出（或者南小闲，记得消毒）;2023-11-28;17:18:14;【小白】ᙏ̤̫<warycheng@qq.com>;电子设备也是扔公寓垃圾堆？;放旁边有阿姨会收吧;@ᙏ̤̫;@ᙏ̤̫;111真送吗（雾）;2023-11-28;21:02:01;系统消息(1000000);;夏天加入本群。;绾峭加入本群。;绾峭撤回了一条消息;问问看已经预约的话大概多久能蹲到回复呀[表情][表情]因为真的有比较急的问题就是，虽然感觉不是什么很复杂的问题，但是自己不太会解决;看到你的单子啦;我的论文ddl已经近了呜呜呜呜请救救我！;虽然社员们都是自愿接单;我们无法肯定地给出接单期限;但是确实能看出很急;不过现在已经下班了;好的呜呜谢谢你！希望能尽快有uu可以接[表情][表情]我真的要爆了它为什么偏偏在ddl之前出问题;然后我们一般上午都不大会有人接单;而且单子上也是写明日没时间吧;如果周四一天都没有人联系的话再来催;上午大家可能都在睡觉;我姑且问一下;你这个硬盘是指什么硬盘;移动机械硬盘？;好的！！谢谢提醒！;@[IT侠]水龙;@[IT侠]水龙;对对对;你需要他是因为你文件很大吗;如果你在别人（比如舍友）电脑上能打开;那你可以先传云盘啥的;是因为里面有很多我需要的文件，但是它现在没法被电脑读出来……;@[IT侠]水龙;特别急的话可以用这个办法@[IT侠]水龙;太经典了，我两年前有个移动机械硬盘就是这个问题;啊啊啊但是我不是很确定需要哪些，因为里面大多是打包的论文集和电子书，我用硬盘相当于是查资料库;多大？
请问一下笔记本晚上自动更新后 插上HDMI线无反应是什么情况,屏幕开了吗;屏幕输入选择切换到hdmi了吗;hdmi插紧了吗;我拿HDMI转typec;然后typec连到手机上可以投屏;连到电脑上就没有信号输入;没懂;你以前是能的？;typec要输出得全功能typec;你是拿显示器上的hdmi口插了一根hdmi;to;c的线插笔记本？;想问一下我电脑现在;蓝牙鼠标连不上;显示驱动程序错误;但是蓝牙耳机之类都正常;已经重装驱动重启了还是不行怎么办、;[图片];@[IT侠]水龙;以前是可以的;插的同一个口？;就用HDMI转typec扩展坞;是typec转hdmi吧;对;拓展坞上有其他口吗;其他口插电脑能用吗;能用啊;@[IT侠]水龙;*拓展坞上其他口插个东西;再插电脑能识别到吗;用这个扩展坞插手机上都能投屏;能识别到;那更新下显卡驱动啥的;或者打开显示设置之类的看看有没有识别到屏幕;没有识别到屏幕;显卡驱动更新下吧;不管是核显还是独显;天真加入本群。
请问有人知道QQ登录不上去，显示消息文件打开失败是怎么回事吗,2023-11-30;0:33:27;系统消息(10000);;管理员[IT侠]及时备份数据，善用搜索引擎撤回了一条成员消息;2023-11-30;0:33:34;系统消息(10000);;管理员[IT侠]及时备份数据，善用搜索引擎撤回了一条成员消息;2023-11-30;0:33:36;系统消息(10000);;管理员[IT侠]及时备份数据，善用搜索引擎撤回了一条成员消息;2023-11-30;0:33:38;系统消息(10000);;管理员[IT侠]及时备份数据，善用搜索引擎撤回了一条成员消息;2023-11-30;0:33:40;系统消息(10000);;管理员[IT侠]及时备份数据，善用搜索引擎撤回了一条成员消息;2023-11-30;1:03:21;[IT侠]及时备份数据，善用搜索引擎(3387257974);;抱歉，无关信息;话说仙林IT侠大活那儿有电钻吗？;装的台式机，在家用电钻螺丝拧太紧了。现在考虑加内存条发现自己拧不动机箱螺丝了。[表情][表情];有的;好的，多谢
请问学校哪里有VGA线卖吗[表情],或者可以DVI接HDMI的[表情];这种网上都有卖的;jd买明早到了;好的;京东自营买;现在买明天肯定到;雪糕长不高加入本群。;[图片]
请问这种情况应该怎么解决呀[表情],笔记本自带的摄像头吗？;我记得hp有的笔记本有物理开关;官网重新下个驱动看看;以及看看有没有物理开关;关上就可以物理断开摄像头;或者也不是物理开关;是fn+某些键的组合键;@[it侠]金文泽;查了下;是的;好的谢谢~[表情]我再去试试;With;an;orchid加入本群。;求问，我电脑今天莫名很卡，然后我刚才重启，他现在转圈圈好久了怎么办[表情][图片];一般来说，CPU占用多少比较正常？;取决于您的cpu性能和您正在运行的程序
请问这种情况该怎么解决[表情],就算吃满也没啥不正常的;[图片];墙上的插口里面没网线吧，你看看你墙上有几个以太网插口，有的宿舍可能有两个，其中一个没用的
求助一下IT侠，请问有了解南京有哪家靠谱的数据恢复公司吗？,这头像像是某位喜欢指针分析的老师;[图片];还真是;[图片];☆加入本群。;[图片];[图片];如果是手动删除的话可能有机会找回来;我之前rm;-rf了一个目录去网上搜，有恢复方法。但是我看不懂就懒得做了;最好还是给专业的人做;但是我不知道靠谱的;因为我的数据不值钱;有些厂家（比如三星）是提供数据恢复服务的;好的，多谢（是Mac;https://www.yuque.com/itxia/help/ycyhqk?singleDoc#《数据恢复软件：Recuva》;不值钱的数据可以用这个（;Mac还是天才吧吧
请问IT侠可以换手机屏幕总成吗,不行;现在的手机拆起来都很困难了，建议去官方售后吧;学校里面有店可以换吗，是个旧手机[表情];新手机直接售后，旧手机……也许珠江路？至少省事（）;好奇一下啥手机啊;@In'Maldrerah;Eyllisitryaitore;@In'Maldrerah;Eyllisitryaitore;仙林这边有吗;有同学遇到过这种情况吗，一直卡在这里。;重启、重装、开加速器和挂梯子都行不通;[图片]
请问win10 系统下使用vs2022时，一打开界面就显示这个，应该如何解决？,[图片];系统出现错误代码0×80004005;请大佬赐教？;（我的关注点：用户名原来还能叫“1”的吗;这是个啥，弹窗吗;用那个frame;codw和error;code去必应搜下呗
请问可以给电脑拆机换电池吗,可以的;预约吧;好滴谢谢;不过我们没有电池;要自己准备;嗯嗯;想问一下，笔记本屏幕突然变得亮度低到看不见可能是什么原因;[图片];电源插好了;背光寄了[表情];啊这;拆修？;先手动调亮度看看能不能调起来;调不起来;不会是暗影精灵吧）;戴尔的老本子;要是背光寄了，外接显示器应该就可以正常使用了吧;是
请问这种情况怎么解决呢,用户名是什么;@[IT侠]提醒关代理小助手;@[IT侠]提醒关代理小助手;指的是哪个;看看C:\用户\;[图片];用户名是那个suaena;https://www.abackup.com/easybackup-tutorials/unable-load-user-profile.html;先试一下方法2吧;重要数据先备份，注意都用复制，别把原来的那个用户文件夹删了;好;我觉得可以先试一下4和5（;尤其是4那个属于是万金油，碰上啥系统问题都可以试试）;虽然不一定管）;能连上wifi，但是打不开p.nju.edu.cn。
有时突然可以连上Internet，但在电脑没有任何操作的情况下，5分钟左右就会断连。请问有什么可能的解决方法[表情],[图片];[图片];重启电脑，重启网络适配器，刷新dns都试过了;断联前的视频实况;白泽加入本群。;;2023-12-04;19:47:54;【小白】♚<peijiao1314520@qq.com>
屏幕坏了想自己买个屏幕，但不敢自己换，请问学校里有专业的帮换的吗,可以换的，预约就行;;2023-12-04;19:49:15;【小白】♚<peijiao1314520@qq.com>
请问在哪里预约呀 没有约过,itxia.club;2023-12-04;22:46:24;♚<peijiao1314520@qq.com>;[图片];;2023-12-04;22:47:04;♚<peijiao1314520@qq.com>
请问这样是要买个屏幕和b壳吗,2023-12-04;22:52:01;412前台小妹(948001371);;预约了吗？预约了的话等过来看看再决定买什么吧;jrm想问下蓝牙键盘能清灰吗有几个键按着稍微卡顿，能看见里面有东西但扣不出来;[IT侠]及时备份数据，善用搜索引擎撤回了一条消息;[IT侠]及时备份数据，善用搜索引擎撤回了一条消息;键帽轴体能拔下来吗;@Augenstern;@Augenstern;得看下是什么键盘（（;能搞下来就好办;罗技那款K380;自己不敢拆，没试过;和笔记本键盘一个结构的，很容易拆坏;好的，谢谢;K380也不值钱啊;想请教一下，电脑突然充不上电了是什么原因呀，插着电一直显示1%，拔掉电源立马关机[表情][表情];电池坏了吧（大概;先控制变量一下（换个充电器试试;好的，谢谢同学，我先换个充电器试一下;想问一下为什么以及如何解决呢[表情];是不是限制最大线程数了
请问在哪看有没有被限制[表情],软件内部限制;跑满cpu挺简单的;几十行就能搞定;是改变进程的优先级吗;可以先用其他软件;比如cinebench这种;看一下能不能跑满;okok;[图片];2023-12-09;9:19:47;【小白】千旭(1494598480);
请问IT侠工作室现在开了吗？,2023-12-09;9:22:00;【小白】412前台小妹(948001371);
还没有开 请问有什么事吗？,2023-12-09;9:22:27;【小白】千旭(1494598480);
请问什么时候开？,2023-12-09;9:23:03;【小白】412前台小妹(948001371);;一般都是中午开门;要看大家什么时候有空过去;2023-12-09;9:23:28;【小白】412前台小妹(948001371);;具体是什么事呢;着急的话可以叫人;2023-12-09;9:24:28;【小白】千旭(1494598480);;我昨天晚上的电脑还在那里[表情][表情];2023-12-09;9:25:51;【小白】412前台小妹(948001371);;诶;知道了;我看看;不好意思;2023-12-09;9:29:11;【小白】千旭(1494598480);;没事儿没事儿，我是问一下什么时候开，开了我就过去[表情][表情];@千旭;过来吧;好的
请问想帮忙拆下电脑电池需要预约吗？还是工作时间直接过去就行？,预约;好的;[图片]
请问电脑充了一下午的电还是这样是电池坏了吗？,也有可能是线的问题;还有电源适配器;你试试电脑的typec口能充上不;好的，谢谢！;2023-12-10;1:47:44;系统消息(1000000);;山火加入本群。
请问戴尔G15的键帽怎么拆？几天前洒了可乐，手感黏糊糊的。,笔记本键帽拆了就不一定能装回去了;那可糟了;高岸加入本群。;请教群内大佬，固态移动硬盘怎么选啊，1tb现在大概是什么价位;不是很了解存储这边的行情[表情];500左右吧;看你需求;d4还是d5;确定是默频？;d5;微星的板子？
请问有什么简便的方法可以阻止win10对声卡驱动的自动更新么,关闭自动更新;更新声卡驱动出问题了么;但是好像暂停自动更新只能暂停一段有限的时间;@张致远（小白）;@张致远（小白）;好久以前就有问题了，耳机只有第一次插上去能识别拔下来再插就识别不到了;@1栋;@1栋;选荣耀;最近给他装了个老版本的驱动解决了;想永久禁止更新的话就只能修改注册表了;确实我找到的是一些修改组策略的方法[表情];好吧;@界鳥;SAKAITORI;组策略就算比较“安全”的了吧，相比于直接改注册表（@界鳥;SAKAITORI;@NXQSZ;@NXQSZ;重启过了吗）;蓝牙出问题了，咋解决[图片];@C8H17OH;@C8H17OH;谢谢大家，已经解决了。重装了系统就好了;我先重启试试;ok了，撤退
请问有同学有备用电脑或者最近不用电脑吗，电脑送去维修了，这两天要用[表情],重装系统的过程中电脑经常画面卡死不动，也不蓝屏，就鼠标键盘无效;前一阵子为了用copilot从win10升级到了win11，两个系统使用期家都没有卡死的状况。后来觉得11不好用，用ventoy;U盘启动盘重新安装win10，结果安装的时候就卡死，后来好不容易安装好了，进去系统之后也经常卡死。;@。;已借到;试了安装在别的盘，和安装别的版本的系统，都还是会卡死;哪位侠可以给个解决思路;显卡也试过了独显和集成，都还是会卡死;Copilit;需要升级到win11吗;不能用吧，直接卸载了;可以用，需要开全局的代理;copilot我自己用不需要开代理;copilot不是直接能用？;没用过，别骂了;[图片];建议你们先区分一下是vscode的插件的那个copilot还是edge上的那个……;已经可以直接用了吗？;vscode上的不用win11啊;麦田颠倒电台加入本群。;说的是不是这个;[图片];我还以为是edge上的那个;@NeoTheHero;我指的是new;bing，改名称copilot了;win11把new;bing集成到了系统里，不用在edge;那个确实得代理才能用，裸连不行;而且开了还会打断壁纸引擎🤬;@[IT侠]水龙;@[IT侠]水龙;微软起名部
请问it侠目前是暂停维修电脑了吗？仙林有没有其它可以修电脑的地方[表情],目前填单不一定有人接;你这边是什么问题呢;电脑没法开机了;现在有空吗;有的;有空的话约一单直接来工作室吧，现在有人的;啊好的感谢
请问工作室是敬文活动中心412吗,是的;好的谢谢
请问有工作人员现在在大活412吗? 我周三下午可能遗落了一支ipad pro的触控笔在412内，位置可能在进门前方白板下方的小桌或进门左侧桌上，可以麻烦帮我看一下嘛,[图片];现在大概没人;我吃完饭可以去看一下
请问一下戴尔 灵越15pro，电脑好像是外壳坏了，这个能修吗[表情][表情][表情],或许可以;预约吧;但是现在大家复习备考;缓接单哦;转轴底座脱落;大概能修
好的好的感谢，那请问目前还能小心地开机使用吗[表情][表情],可以的，但是屏幕容易碎掉。;今晚方便就约了今晚来吧;好的好的;太感谢了[表情][表情];大概八点多去可以吗[表情];可以的;[图片];@辇道增七;我没看到;过来找找吧;哦;好的;就是问一下;这两个地方没有应该就没丢在那里;呃;这也不好说;这里挺乱的;我晚上回去看一下;[图片];采样率怎么样改成44100呢;硬件支持吗;不确定哎;设置里没有很可能就是不支持吗;没有的话有可能不支持。也可能硬件支持但驱动没装对（概率不大）;ylrc;预约了但没侠接单
请问现在有侠在工作室吗？,事比较急，工作电脑崩了，急着用;@侠;最近复习备考;缓接单请见谅;已经帮催;一个是不一定有人有空，一个是有人有空也不一定能解决，不好意思，可能还是得随缘;[图片];谢谢，有侠联系我了;电脑输入法有时会自动变成ENG是怎么回事啊？按网上所说的把语言重下载后再删除能好一会，过一段时间又会跳回去。[表情];win+space
请问C盤文件丟失是怎麼回事呀,@便宜出点带灯的风扇;@便宜出点带灯的风扇;呃呃，谢谢了！不过我的意思是如何不让它自动变成ENG或者怎么彻底删掉ENG啊？;把英文语言包删掉;@°;有一次开机之后桌面清空了;當時在C盤裡面還能找到桌面的文件;第二次開機之後就徹底丟失了;@张致远（小白）;@张致远（小白）;删掉之后还有[图片];即使下别的语言包ENG的也会自动出现。;这个问题我也想问
请问电脑总是连不上校园网可能是什么原因？也没有欠网费,群置顶公告有个链接;先看看;@芝兰秀发;@芝兰秀发;谷歌拼音輸入法還可以;沒廣告，輕量級;@新一仔;@新一仔;谢谢！;微软拼音挺好用的;[图片];[图片]
请问有人知道这是什么情况吗，我直接点击文件管理器、我的电脑和回收站什么的都打不开报错,但是浏览器什么都能正常打开;[图片];[图片];注册表和账户控制都没问题;[图片];但是我windR点这个浏览就能出来管理器;键脱落了安不上去怎么办呢[表情];[图片];用力;[图片];很用力了哈哈但是不行;看了一下有没有摆折了;这个掉了大概率是装不回去的;里面有个蝴蝶卡扣的结构;非常容易断了;断了就没法按回去了;[图片];是你自己掰下来的还是自然掉落的;自然掉落的;应该是快进键用多了;脱落下来了;自然掉落也可能是断了;这个好像如果维修的话整个键盘要一起换;自己掰的肯定死刑了;自然掉落可能还有救;好的;你可以去b站搜搜相关视频看看他这个结构啥的;看看到底断没断;没断也很难弄回去;反正断了的话确实只能整面键盘换了;[图片];整面键盘换通常又意味着整个C面换;用个胶带粘着凑活用，我之前这么干的;[图片];或者外接键盘;我也准备用胶带了;这个键问题不大;在保可以问问售后;@牧羊人;@牧羊人;win+R输入explorer能打开吗;你最近做什么可能破坏系统文件的操作了吗（;感觉最快的解决办法可能是直接重装）;好像不行;找到了我的管理员账户没了，现在的账户没有权限;但是我把我的账户停用了现在登不进电脑了;草）;这个账户停用了之后可以安全模式或者bios给他恢复吗;什么版本的Windows;不太懂，XP时代听说是有默认自带且隐藏的Administrator账户，Win10之后我都是用微软在线账户登录;win10;之前登陆都是管理员账户进去的，今天突然变成我自己的了没有权限了;管理员账户找了一下也没了;都不是在线账户是吧;应该不是;我现在在用第三方软件试一下把他权限解开;电脑里有没有备份的重要数据吗？;@牧羊人;要不约一单吧晚上来看;还没有备份;我先看看，不行的话我就约一下;有条件的话先备份数据;WeAreNewJeans加入本群。
请问哪位同学有联想135W方口方针的充电器可以借我用用的[表情],我的充电器坏了;淘宝买了但得后天才能到;京东现在买明天上午就能到（;自营的;哦哦好！;谢谢;记住是带自营红标的;不是什么旗舰店;是自营店;[图片];这个可以不;你要不搜一下你的电脑牌子的自营旗舰店;那里面应该有;我的拯救者就有直接卖充电器的;@WeAreNewJeans;@WeAreNewJeans;另外可以试试;pd;快充应急;好的好的;刚刚下单了;谢谢大家;群里有人试过电脑账户被禁用了无法登录电脑然后做一个启动U盘给他激活吗;直接预约吧;晚上社员有空;我是台式机，只需要带机箱就好吗;是的;显示器不需要带吧;不用;有显示器;先预约再看;好的好的谢谢;好了，我发起预约了，但是我是台式机组装的型号不好确定;等社员联系吧;@WeAreNewJeans;https://item.m.jd.com/product/100019256577.html;[图片]
请问新买的电脑壳把散热口盖住了一部分影响吗,看你怎么理解影响了;肯定是会部分影响散热的;生产笔记本的公司可能为了减一点点厚度和质量都花了很大研发成本，没必要套个壳;哈哈哈;好的好的;主要是怕摔到角[表情][表情][表情];新机刚到手爱惜也正常;[图片];套上轻度使用估计也没啥影响;佬们，Arch;Linux死机，强制关机了。现在nvme系统盘好像识别不到了，开机进的另一块装了win的盘，想保数据，要咋办呀;也许只是引导坏了？（不太懂，仅供参考
请问手机后置摄像头有一个出现裂纹，附近有没有推荐的店铺去修的,问就是官方售后;是自己摔坏的，不在保了;不在保也建议去官方售后;至少官方售后一般明码标价;ok，主要是担心没钱换;或许你可以先下个对应品牌的售后服务app之类的看看;好的;至少华为是会写明所有备件价格的;是把图灵毒死的那个东西）;听说那玩意换配件很贵;所以我之前屏漏液都没去苹果官方售后，换了非官方的屏幕;2024-01-05;23:24:22;马格利酒<fzmxx20090314@163.com>;最近确实蓝屏挺频繁的，故障原因都是memory;management;可能频率升高了？体质不行出问题了;;2024-01-05;23:25:01;马格利酒<fzmxx20090314@163.com>;我没超过频，从买来到现在一直默认频率和时序使用，很奇怪;;2024-01-05;23:25:01;nendd(1143375493);;固定在低频试试呢;频率高了断电电压不够？;在保就售后问问;借一个内存交叉测试下，一般不会两个同时出问题;[图片];我想问一下这个怎么办;你不如先说说你在干什么（;雾电脑打开就不能用了，不知道干了什么;我还重启了几次结果没啥用;“不能用了”是指连不上网了吗;对;你正常连网是怎么连的，你是在学校里还是;就连的校园网;百度了一下，像是本机上的软件用的端口;可能和本机上跑的服务器，或者一些起服务器的软件（PyCharm等），或者梯子有关;另外可以参考置顶群公告排查一下;说实话我把梯子软件打开就好了;可能那个软件占用了什么东西吧;因为你的软件修改了系统代理;让你所有浏览器流量都走代理;所以软件关了上不了网;找一下软件里关闭/开启系统代理的选项;嗯，非常感谢
请问一下笔记本没装电池用电源线插着断了两次电之后就充不进电了，是适配器坏了嘛，装上电池后还能开机，就是充不进电，电源适配器一开始有电流滋滋声,2024-01-07;0:45:24;2753195823(2753195823);;不好说🫤;2024-01-07;0:58:15;【小白】新一仔(786073021);;@chapter05;把梯子關了再關機，我以前是這樣解決的;2024-01-07;1:02:19;【小白】Sowa;Minerwy(948001371);;虽然这确实是大家常见的问题;但是注意群规哦;2024-01-07;1:05:33;【小白】新一仔(786073021);;好咧;第一眼以为是在回答这个问题（;[图片];@向人民投降;@向人民投降;控制变量：换根充电线试试;okok;多谢;[图片]
请问电脑程序最小化后都是变成黑块是怎么回事,什么版本的Windows;另外你这是用了什么桌面软件么（关上它试试？;装的美化包，关不掉;是美化包的问题吗;@C8H17OH;@C8H17OH;win11;@心雨想哭;@心雨想哭;个人直觉有一定的可能性但也不一定（废话;美化包是啥，难道是装机镜像自带的？;另外其实应该先问的：重启explorer或者重启电脑能解决吗（重启能解决就不是问题（（;重启不能解决;是这样的（指着自己ID）;@心雨想哭;@心雨想哭;卸载美化包试试呢？;我关掉了大部分的组件;好像就可以了;可能是有兼容性bug，或者太吃资源把系统UI卡死了;似乎是系统主题的问题;[图片];把主题切换回默认就没问题了
请问固态的散热片不粘了咋办，上次拆后盖发现歪了，是不是应该揭下来,笔记本风扇异响;[图片];现在it侠还有人接嘛;可以有;感谢感谢，我预约看看;[图片]
请问为什么我得不到ipv4了,p认证的网页也上不去;https://www.yuque.com/itxia/help/nju_wlan_qa_pro_plus_max_ultra;感谢;wifi正常，但是有线网换了个网口还是拿不到ipv4;奇怪;v4的dns和dhcp啥的看一下对不对;我看看;2024-01-09;0:01:20;【小白】不想起名(3100439639);;连上了;2024-01-09;0:01:21;【小白】不想起名(3100439639);;感谢;2024-01-09;0:01:36;【小白】不想起名(3100439639);;确实是dhcp的问题;2024-01-09;0:01:55;【小白】不想起名(3100439639);;我没开自动获取ip;2024-01-09;0:02:33;【小白】不想起名(3100439639);;[图片];台式机最近运行有点卡顿
请问是啥问题,"这就像是在问身体不舒服是啥问题;[图片];问就是该换了;@便宜出点带灯的风扇;懂了，该给机器补补阳气了;人参泡硅脂;这个问题缺乏有用的信息，是一直卡顿，还是打开什么程序、做了什么操作的时候卡顿；卡顿的具体表现是什么，是响应慢，还是屏幕卡死一会好一会；有没有观察下卡顿时常见资源的使用情况，cpu,;内存。什么信息都没有只能建议换电脑了。;想问问it侠寒假前还会开放线下维修嘛?我想更换一下风扇和电池;[图片];如果你已经买好配件可以现在预约然后来工作室，我这两天还在学校;如果不知道购买什么型号的配件也可以来工作室确认下;我买好配件了;不过得晚上才能去orz;没问题;那约一单备注晚上有空的时间就行;坏了我没写就预约了（麻烦您区分一下）;[图片];@辇道增七;回复区回复一下就好;求助一下！电脑蓝屏了，终止代码是CRITIACL;PROCESS;DIED。电脑蓝屏前没有特别的征兆。重启后风扇会反复开启又关闭（持续时间很短，伴有微弱电流声，这个平时也会）。暑假期间发生过反复蓝屏（蓝屏间隔时间逐渐缩短最后开不了机，终止代码忘记了），换过硬盘重装电脑后正常使用。但是现在又出现了蓝屏现象，这是刚才的dump文件。请求各位大佬帮帮忙看看是什么原因，如何处理呢？;[图片][图片];我怀疑是驱动问题;重装系统试试（;G，这会儿直接黑屏了，开机能听见风扇响儿但是屏幕黑的。;还没来得及重装呢;[表情];@kiwis;share一下这个，今天自己尝试了一下，拆机把各个地方都怼紧了一遍，屏幕亮度恢复正常了。应该就是接触不良。;一个是金士顿DT100G3，另一个是街边买的不知啥牌子;分区格式是什么;[图片]默认是ntfs的话macos识别不了;苹果电脑装的windows系统呢;哪一年的mac;啊这;@Aurora;@Aurora;报什么问题;emmm;要不先看看是不是接口的问题;[图片];哪一年的mac;2018的;驱动安装好了吗;可以右键开始按钮选择设备管理器;看看有没有感叹号;u盘本身有没有问题;[图片];确实有个感叹号;@nend;@nend;应该没有，在打印店的电脑上是好使的;@Aurora;@Aurora;双击看看报错;[图片];诶U盘这种一般不是自己会带驱动么）;先多问一句，是Intel芯片的Mac吧）;点“更新驱动程序”试试，不行的话…去金士顿官网找找？（我没遇到过U盘的驱动问题，不清楚有没有;好的，谢谢大家[表情];[图片];电脑出现这种问题的话，需要怎么办呀;先试着重启;如果经常遇到，把c:\windows\minidump下面的文件发群里;怎么重启呀;一直摁住电源键强制关机;好的，谢谢;好像如果有程序没有关的情况下直接合上电脑再打开就容易遇到这个问题"
uu们，请问电脑使用过程中突然黑屏是什么出了问题呀[表情],现在好像是充电也充不进去，电脑刚刚在使用时是有电的;电池坏了？;不知道哎，是电池有电的时候突然黑屏了;你现在能用吗;不会是主板之类的烧了吧（;用不了[表情];刚刚淘宝问了一下，估计是硬件问题;直奔维修吧;在保的话去官方维修;不在保了[表情];除了1栋那个电脑店还有哪里比较靠谱呀;1栋那个好像很坑;IT侠还有同学留校吗）;似乎还有一些？可以预约试试;刚刚申请加入频道，还没通过[表情];没事;看本群公告预约吧;好的，谢谢！;[图片];2024-01-23;9:57:10;【小白】晓梦初残(1170361450);;想问一手，联想拯救者y7000，键盘进水导致键位失灵送去维修大概需要多少[表情];自己搞小几百;官方搞大几百到一千左右;前提是主板没出问题
大家晚上好！想问一下笔记本的键盘轴坏掉了，一栋电脑医院的维修师傅说要换个c壳。我查了某宝的这款c壳大约250～300r(电脑型号:微星gp63)，维修师傅说包括维修费在里面一共480r，请问下大家这个价格合理嘛,[图片]显卡的问题或许可以参照这个;换c壳+人工费+可能存在的后续问题;我觉得不算太贵吧;好的好的，感谢解答！;另外换c壳it侠这边有能力解决，但是不知道现在还有没有留校的同学了;@上善若水;重新拔插;注意供电插紧;然后机箱横着开机试试;[图片];这种情况怎么处理啊，感觉机箱或者显卡设计有问题;[表情]插不进去;机箱设计有问题;开锯;或者说有没有其他pcie槽;什么板子？;可是我一开始连接上又不行了;华硕吹雪b760;就一条啊;你这个感觉是显示接口插不紧的原因;上面那个框架有没有可能卸下来;可是我倒是进去过几分钟;一直没问题;就是挑了个东西;重启就不行了;我看看能不能拆一下;调了什么;@上善若水;你这个接口碰一下就掉了;啥时候不亮都有可能;我买了个系统u盘;装u盘的时候重启了一下;@一辈子的快乐;@一辈子的快乐;it侠免费，现在学校里有人;*物料需要自行购买;好的好的，太感谢二位啦，我尽快去预约;2024-01-25;19:09:49;【小白】[IT侠]香菜(2783747909);;@Nicholas;@Nicholas;是需要更换屏幕吗？;2024-01-25;19:10:22;【小白】[IT侠]香菜(2783747909);;工作室可以换;哦不;Mac;book不可以;[图片];抱歉;去售后吧;2024-01-25;19:18:23;前轱辘不转后轱辘转思密达(1832783120);;第三方店我们也不熟，没法给出建议;2024-01-27;11:07:38;系统消息(1000000);;Finito*加入本群。
请问一下笔记本屏幕坏了IT侠可以修吗,可能能换;[图片];就是这个右下角大概是被压到了;应该可以;这个是要重新买一个屏幕吗;是的，记得看清楚型号;开学了预约可以吗;可以;不过你就需要这样一个寒假了;没关系，现在不急着用;你或许可以看看能不能设置屏幕分辨率为4:3;然后禁止缩放;谢谢IT侠们[表情];你现在下单年前就能换好;不出意外的话;@[IT侠]水龙;比率为4:3;那他也得人在学校（;早回了（;@橘砸不中明;@橘砸不中明;[图片];你可以在设置->系统->显示这里;把分辨率改成4:3这种比率的;这样两侧就是黑边不显示了;好的好的，谢谢您
